manufacture_year,make,model,trim,body_type,transmission,vin,state,condition_score,odometer,exterior_color,interior_color,seller,mmr,selling_price,original_saledate,sale_date,sale_year,sale_month,sale_quarter,sale_day_name,sale_day_of_week,profit,profit_margin_pct,margin_tier,price_category,mileage_category,condition_category,vehicle_age,age_category,units_sold,total_revenue,total_profit,avg_price,avg_margin
2012,BMW,7 SERIES,740i,SEDAN,AUTOMATIC,wbaka4c51cds99089,CA,43,35818,BLACK,BLACK,financial services remarketing (lease),35600,35250,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-350,-0.98,Negative Margin (Loss),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),1051,19081950,-149550,18155.994291151284,-1.2312607685867927
2012,BMW,3 SERIES,335is,CONVERTIBLE,AUTOMATIC,wbadx1c56ce570700,CA,38,14149,BLACK,BLACK,financial services remarketing (lease),39900,40500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,600,1.5,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,3 SERIES,328i,CONVERTIBLE,AUTOMATIC,wbadw7c5xce729000,CA,31,27675,BLUE,GRAY,financial services remarketing (lease),28200,25750,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,-2450,-8.69,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),7319,124597670,-801505,17023.865282142368,0.01942158579106897
2012,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbalz3c5xcdl70913,CA,36,24132,BLACK,—,financial services remarketing (lease),49700,49500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-200,-0.4,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,BMW,1 SERIES,135i,COUPE,AUTOMATIC,wbauc9c56cvm12464,CA,41,16288,BLUE,—,financial services remarketing (lease),26900,27500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,600,2.23,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),36,691650,5550,19212.5,1.5175372373913723
2012,BMW,6 SERIES,640i,COUPE,AUTOMATIC,wbalw3c56cc891870,CA,44,39628,BLACK,BLACK,financial services remarketing (lease),42200,42000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-200,-0.47,Negative Margin (Loss),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,ACURA,TL,Base,SEDAN,AUTOMATIC,19uua8f23ca002640,CA,41,28395,GRAY,BLACK,ahfc/honda lease trust/hvt  inc. eot,19200,20200,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,1000,5.21,Medium Margin (5-15%),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),275,3064100,-6700,11142.181818181818,-1.2737206838595316
2012,BMW,5 SERIES,535i,SEDAN,AUTOMATIC,wbafr7c56cc809633,CA,22,28170,GRAY,BLACK,financial services remarketing (lease),35100,47000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,11900,33.9,High Margin (15%+),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,BMW,7 SERIES,740i,SEDAN,AUTOMATIC,wbaka4c53cc613637,CA,33,14769,GRAY,BLACK,financial services remarketing (lease),39800,34750,Tue Jan 27 2015 04:30:00,2015-01-27,2015,1,1,Tuesday,3,-5050,-12.69,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),3,Nearly New (2-3 yrs),1051,19081950,-149550,18155.994291151284,-1.2312607685867927
2012,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbalz3c54cdl72964,CA,42,34780,BLACK,TAN,financial services remarketing (lease),47000,47000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,0,0.0,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,BMW,3 SERIES,328i,CONVERTIBLE,AUTOMATIC,wbadw7c58ce728833,CA,37,35711,BLUE,BEIGE,walters auto sales/service inc,27700,25500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-2200,-7.94,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,null,null,Standard,UNKNOWN,AUTOMATIC,wbakb8c54cc964089,CA,37,48424,BLACK,BLACK,financial services remarketing (lease),42300,43000,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,700,1.65,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),null,null,null,null,null
2012,ACURA,TL,Base,SEDAN,AUTOMATIC,19uua8f23ca027165,CA,44,19669,BLACK,GRAY,ahfc/honda lease trust/hvt  inc. eot,19850,21600,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,1750,8.82,Medium Margin (5-15%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),275,3064100,-6700,11142.181818181818,-1.2737206838595316
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c56cdw24474,CA,48,19782,GRAY,—,financial services remarketing (lease),32000,31000,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,-1000,-3.13,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),3,Nearly New (2-3 yrs),3805,81991350,-613050,21548.318002628122,-0.010091298892630447
2012,BMW,7 SERIES,740Li,SEDAN,AUTOMATIC,wbakb4c53cc576943,CA,36,32509,WHITE,BLACK,financial services remarketing (lease),40000,40000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,0,0.0,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),136,2089225,-104525,15361.948529411764,-3.8259572152090877
2012,BMW,750LI,750li,UNKNOWN,AUTOMATIC,wbakb8c50cc963182,CA,37,31762,BLACK,BLACK,financial services remarketing (lease),45000,45000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,0,0.0,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),19,778725,-9475,40985.52631578947,-1.1867780188148311
2012,BMW,5 SERIES,528i xDrive,SEDAN,AUTOMATIC,wbaxh5c54cdw07718,CA,21,29808,BLACK,BLACK,financial services remarketing (lease),30500,26500,Tue Jan 27 2015 04:30:00,2015-01-27,2015,1,1,Tuesday,3,-4000,-13.11,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),3805,81991350,-613050,21548.318002628122,-0.010091298892630447
2012,AUDI,S4,Premium Plus quattro,SEDAN,AUTOMATIC,waukgafl7ca117999,CA,28,13044,BLACK,BLACK,fratelli investment group,37800,35250,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-2550,-6.75,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),16,258000,-14375,16125.0,-10.984867178458083
2012,AUDI,A7,Premium quattro,SEDAN,AUTOMATIC,wauygafc0cn087585,CA,33,36671,BLACK,BLACK,south bay hyundai,39300,40500,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,1200,3.05,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),12,523400,3800,43616.666666666664,0.7921369411234176
2012,BMW,3 SERIES,335i,COUPE,AUTOMATIC,wbakg7c52ce802266,CA,45,37632,GRAY,TAN,financial services remarketing (lease),30200,32000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1800,5.96,Medium Margin (5-15%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c5xcdw24820,CA,48,27979,GRAY,BLACK,financial services remarketing (lease),33100,34750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1650,4.98,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c58cdw24170,CA,43,22371,BLACK,BLACK,financial services remarketing (lease),34300,34750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,450,1.31,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c53cdx03875,CA,41,32960,WHITE,TAN,financial services remarketing (lease),31000,29250,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-1750,-5.65,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),3805,81991350,-613050,21548.318002628122,-0.010091298892630447
2012,BMW,6 SERIES,640i,CONVERTIBLE,AUTOMATIC,wbalw7c59cc618669,CA,41,46534,WHITE,BLACK,financial services remarketing (lease),42300,41500,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-800,-1.89,Negative Margin (Loss),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),619,20510325,-28075,33134.61227786753,-0.06626605956074723
2012,BMW,3 SERIES,328i,SEDAN,AUTOMATIC,wba3a5c59cf259549,CA,45,29157,BROWN,BLACK,financial services remarketing (lease),24600,24750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,150,0.61,Low Margin (0-5%),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c54cdx02654,CA,44,24506,BLUE,—,financial services remarketing (lease),33800,33000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-800,-2.37,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,AUDI,A5,2.0T Premium quattro,COUPE,AUTOMATIC,waulfafr6ca037394,CA,38,32737,WHITE,BLACK,porsche of downtown la,25000,26500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1500,6.0,Medium Margin (5-15%),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),24,632250,-4250,26343.75,-0.502629978766806
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c53cdw24139,CA,42,43112,GRAY,BLACK,financial services remarketing (lease),28900,29000,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,100,0.35,Low Margin (0-5%),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),3805,81991350,-613050,21548.318002628122,-0.010091298892630447
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c53cdw24979,CA,44,53230,WHITE,—,financial services remarketing (lease),25500,25750,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,250,0.98,Low Margin (0-5%),Mid-Range ($20k-$30k),Average (50k-75k),Excellent (4.5+),3,Nearly New (2-3 yrs),3805,81991350,-613050,21548.318002628122,-0.010091298892630447
2012,ACURA,TL,Base,SEDAN,AUTOMATIC,19uua8f26ca035583,CA,37,21443,SILVER,BLACK,ahfc/honda lease trust/hvt  inc.,19700,20900,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,1200,6.09,Medium Margin (5-15%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),275,3064100,-6700,11142.181818181818,-1.2737206838595316
2012,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wbaxg5c57cdw24497,CA,43,27181,BLACK,BLACK,financial services remarketing (lease),33300,34750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1450,4.35,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,BMW,3 SERIES,335i,COUPE,AUTOMATIC,wbakg7c50ce802444,CA,45,23777,GRAY,—,financial services remarketing (lease),31800,33250,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1450,4.56,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,5 SERIES,535i,SEDAN,AUTOMATIC,wbafr7c59cc808346,CA,27,33760,GRAY,BLACK,financial services remarketing (lease),34200,32750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-1450,-4.24,Negative Margin (Loss),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,BMW,1 SERIES,128i,CONVERTIBLE,AUTOMATIC,wbaun1c59cvh84475,CA,44,28509,BLUE,BROWN,financial services remarketing (lease),23300,22750,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,-550,-2.36,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),369,7106825,-58375,19259.688346883468,-0.6600555823872423
2012,ACURA,TSX,Special Edition,SEDAN,AUTOMATIC,jh4cu2f8xcc014175,CA,37,31595,WHITE,BLACK,ahfc/honda lease trust/hvt  inc. eot,18100,18900,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,800,4.42,Low Margin (0-5%),Economy ($10k-$20k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),146,2206750,6725,15114.72602739726,0.563003827142568
2012,BMW,3 SERIES,328i,CONVERTIBLE,AUTOMATIC,wbadw7c56ce729432,CA,48,14910,GRAY,GRAY,financial services remarketing (lease),30700,31500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,800,2.61,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,3 SERIES,328i,CONVERTIBLE,AUTOMATIC,wbadw7c58ce728380,CA,42,31388,GRAY,BLACK,financial services remarketing (lease),28300,27500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-800,-2.83,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,ACURA,TSX,Special Edition,SEDAN,AUTOMATIC,jh4cu2f87cc007412,CA,45,37284,RED,BLACK,ahfc/honda lease trust/hvt  inc. eot,17700,18400,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,700,3.95,Low Margin (0-5%),Economy ($10k-$20k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),146,2206750,6725,15114.72602739726,0.563003827142568
2012,BMW,750I,750i,UNKNOWN,AUTOMATIC,wbaka8c54ccy37992,CA,49,53016,WHITE,GRAY,financial services remarketing (lease),31300,34250,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,2950,9.42,Medium Margin (5-15%),Premium ($30k-$50k),Average (50k-75k),Excellent (4.5+),2,Nearly New (2-3 yrs),18,413100,-6100,22950.0,-2.449936002826177
2012,BMW,750LI,750li,UNKNOWN,AUTOMATIC,wbakb8c56cc963431,CA,34,24739,WHITE,GRAY,financial services remarketing (lease),47000,46750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-250,-0.53,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),19,778725,-9475,40985.52631578947,-1.1867780188148311
2012,BMW,3 SERIES,328i,CONVERTIBLE,AUTOMATIC,wbadw7c57ce729732,CA,36,32456,BLUE,OFF-WHITE,financial services remarketing (lease),27500,26750,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,-750,-2.73,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),7319,124597670,-801505,17023.865282142368,0.01942158579106897
2012,BMW,3 SERIES,328i,CONVERTIBLE,AUTOMATIC,wbadw7c52ce729136,CA,35,35000,SILVER,OFF-WHITE,financial services remarketing (lease),27800,27500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-300,-1.08,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,3 SERIES,335i,CONVERTIBLE,AUTOMATIC,wbadx7c54ce744332,CA,43,37509,BLACK,—,financial services remarketing (lease),29800,31500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1700,5.7,Medium Margin (5-15%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,null,null,Standard,UNKNOWN,AUTOMATIC,wbakb8c59cc448049,CA,48,39825,—,GRAY,financial services remarketing (lease),58100,58500,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,400,0.69,Low Margin (0-5%),Luxury ($50k+),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),null,null,null,null,null
2012,BMW,750I,750i,UNKNOWN,AUTOMATIC,wbaka8c59cds99963,CA,39,36156,BLUE,GRAY,financial services remarketing (lease),34800,35500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,700,2.01,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),18,413100,-6100,22950.0,-2.449936002826177
2012,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbalz3c59cdl72460,CA,38,22845,WHITE,—,financial services remarketing (lease),50000,52500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,2500,5.0,Medium Margin (5-15%),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,BMW,7 SERIES,740Li,SEDAN,AUTOMATIC,wbakb4c5xcc575577,CA,39,24576,BLACK,BLACK,financial services remarketing (lease),41800,40500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-1300,-3.11,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),136,2089225,-104525,15361.948529411764,-3.8259572152090877
2012,ACURA,TL,Base,SEDAN,AUTOMATIC,19uua8f24ca004980,CA,42,32354,BLACK,BEIGE,ahfc/honda lease trust/hvt  inc. eot,18900,20300,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,1400,7.41,Medium Margin (5-15%),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),275,3064100,-6700,11142.181818181818,-1.2737206838595316
2012,null,null,Standard,UNKNOWN,AUTOMATIC,wbakb8c58cc962863,CA,49,35093,BLUE,TAN,financial services remarketing (lease),45200,44500,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,-700,-1.55,Negative Margin (Loss),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),3,Nearly New (2-3 yrs),null,null,null,null,null
2012,BMW,6 SERIES,640i,CONVERTIBLE,AUTOMATIC,wbalw7c58cc618677,CA,41,51983,BLACK,—,financial services remarketing (lease),41400,40000,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-1400,-3.38,Negative Margin (Loss),Premium ($30k-$50k),Average (50k-75k),Excellent (4.5+),3,Nearly New (2-3 yrs),619,20510325,-28075,33134.61227786753,-0.06626605956074723
2012,ACURA,TSX,Base,SEDAN,AUTOMATIC,jh4cu2f48cc010509,CA,42,36621,GRAY,BLACK,ahfc/honda lease trust/hvt  inc. eot,16800,18200,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,1400,8.33,Medium Margin (5-15%),Economy ($10k-$20k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),146,2206750,6725,15114.72602739726,0.563003827142568
2012,BMW,1 SERIES,128i,COUPE,MANUAL,wbaup9c54cvf46588,CA,29,37168,BLUE,GRAY,financial services remarketing (lease),18100,18000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-100,-0.55,Negative Margin (Loss),Economy ($10k-$20k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),36,691650,5550,19212.5,1.5175372373913723
2012,BMW,7 SERIES,740Li,SEDAN,AUTOMATIC,wbakb4c5xcc576244,CA,36,18602,WHITE,GRAY,financial services remarketing (lease),43200,42000,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-1200,-2.78,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),3,Nearly New (2-3 yrs),1051,19081950,-149550,18155.994291151284,-1.2312607685867927
2012,ACURA,RDX,Technology Package,SUV,UNKNOWN,5j8tb2h54ca000490,CA,4,35348,GRAY,BEIGE,ahfc/honda lease trust/hvt  inc. eot,22700,22000,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-700,-3.08,Negative Margin (Loss),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Very Good (4.0-4.4),2,Nearly New (2-3 yrs),43,797150,-150,18538.372093023256,0.6936506638472287
2012,BMW,M3,Base,CONVERTIBLE,AUTOMATIC,wbsdx9c50ce784530,CA,35,25240,BLACK,BLACK,financial services remarketing (lease),42000,42500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,500,1.19,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),47,1266550,-19975,26947.872340425532,-2.3353088082094997
2012,BMW,3 SERIES,328i,SEDAN,AUTOMATIC,wba3a5c5xcfj88779,CA,44,19411,GRAY,—,financial services remarketing (lease),26600,27250,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,650,2.44,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),3,Nearly New (2-3 yrs),7319,124597670,-801505,17023.865282142368,0.01942158579106897
2012,BMW,5 SERIES,550i,SEDAN,AUTOMATIC,wbafr9c5xcdv58413,CA,47,38066,BLACK,BLACK,financial services remarketing (lease),40200,42500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,2300,5.72,Medium Margin (5-15%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),367,6538675,-153025,17816.553133514986,-1.032045758122853
2012,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbalz3c58cdl71784,CA,4,28606,GRAY,BLACK,financial services remarketing (lease),48600,49500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,900,1.85,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Very Good (4.0-4.4),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,BMW,3 SERIES,328i,COUPE,AUTOMATIC,wbake5c54ce755722,CA,47,26086,BLACK,BLACK,financial services remarketing (lease),22300,22750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,450,2.02,Low Margin (0-5%),Mid-Range ($20k-$30k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),885,13308560,-43715,15037.920903954802,-0.59263876447263
2012,BMW,750LI,750li,UNKNOWN,AUTOMATIC,wbakb8c56cc964045,CA,49,17647,GRAY,BLACK,financial services remarketing (lease),49000,49000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,0,0.0,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),2,Nearly New (2-3 yrs),19,778725,-9475,40985.52631578947,-1.1867780188148311
2012,BMW,6 SERIES,640i,CONVERTIBLE,AUTOMATIC,wbalw7c56cc618502,CA,48,43505,GRAY,BLACK,financial services remarketing (lease),43000,44500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1500,3.49,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,BMW,6 SERIES,650i xDrive,CONVERTIBLE,AUTOMATIC,wbalz5c56cc619497,CA,33,32289,GRAY,BLACK,financial services remarketing (lease),47000,48000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1000,2.13,Low Margin (0-5%),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2012,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbalz3c55cdl70821,CA,44,53404,WHITE,—,financial services remarketing (lease),43500,43500,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,0,0.0,Low Margin (0-5%),Premium ($30k-$50k),Average (50k-75k),Excellent (4.5+),2,Nearly New (2-3 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
